fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
4204,PA,04,"Pennsylvania Congressional District 4",,,,,"Madeleine Dean","Democrat","https://environmentalenforcementwatch.org/report_cards/PA04_2024.pdf"
4207,PA,07,"Pennsylvania Congressional District 7",,,,,"Susan Wild","Democrat","https://environmentalenforcementwatch.org/report_cards/PA07_2024.pdf"
5108,VA,08,"Virginia Congressional District 8",,,,,"Donald S. Beyer, Jr.","Democrat","https://environmentalenforcementwatch.org/report_cards/VA08_2024.pdf"
5111,VA,11,"Virginia Congressional District 11",,,,,"Gerald E. Connolly","Democrat","https://environmentalenforcementwatch.org/report_cards/VA11_2024.pdf"
2703,MN,03,"Minnesota Congressional District 3",,,,,"Dean Phillips","Democrat","https://environmentalenforcementwatch.org/report_cards/MN03_2024.pdf"
0626,CA,26,"California Congressional District 26",,,,,"Julia Brownley","Democrat","https://environmentalenforcementwatch.org/report_cards/CA26_2024.pdf"
0808,CO,08,"Colorado Congressional District 8",,,,,"Yadira Caraveo","Democrat","https://environmentalenforcementwatch.org/report_cards/CO08_2024.pdf"
0805,CO,05,"Colorado Congressional District 5",,,,,"Doug Lamborn","Republican","https://environmentalenforcementwatch.org/report_cards/CO05_2024.pdf"
2003,KS,03,"Kansas Congressional District 3",,,,,"Sharice Davids","Democrat","https://environmentalenforcementwatch.org/report_cards/KS03_2024.pdf"
2004,KS,04,"Kansas Congressional District 4",,,,,"Ron Estes","Republican","https://environmentalenforcementwatch.org/report_cards/KS04_2024.pdf"
4803,TX,03,"Texas Congressional District 3",,,,,"Keith Self","Republican","https://environmentalenforcementwatch.org/report_cards/TX03_2024.pdf"
4816,TX,16,"Texas Congressional District 16",,,,,"Veronica Escobar","Democrat","https://environmentalenforcementwatch.org/report_cards/TX16_2024.pdf"
4837,TX,37,"Texas Congressional District 37",,,,,"Lloyd Doggett","Democrat","https://environmentalenforcementwatch.org/report_cards/TX37_2024.pdf"
4829,TX,29,"Texas Congressional District 29",,,,,"Sylvia R. Garcia","Democrat","https://environmentalenforcementwatch.org/report_cards/TX29_2024.pdf"
0642,CA,42,"California Congressional District 42",,,,,"Robert Garcia","Democrat","https://environmentalenforcementwatch.org/report_cards/CA42_2024.pdf"
4811,TX,11,"Texas Congressional District 11",,,,,"August Pfluger","Republican","https://environmentalenforcementwatch.org/report_cards/TX11_2024.pdf"
4819,TX,19,"Texas Congressional District 19",,,,,"Jodey C. Arrington","Republican","https://environmentalenforcementwatch.org/report_cards/TX19_2024.pdf"
0401,AZ,01,"Arizona Congressional District 1",,,,,"David Schweikert","Republican","https://environmentalenforcementwatch.org/report_cards/AZ01_2024.pdf"
0408,AZ,08,"Arizona Congressional District 8",,,,,"Debbie Lesko","Republican","https://environmentalenforcementwatch.org/report_cards/AZ08_2024.pdf"
1709,IL,09,"Illinois Congressional District 9",,,,,"Janice D. Schakowsky","Democrat","https://environmentalenforcementwatch.org/report_cards/IL09_2024.pdf"
0615,CA,15,"California Congressional District 15",,,,,"Kevin Mullin","Democrat","https://environmentalenforcementwatch.org/report_cards/CA15_2024.pdf"
0607,CA,07,"California Congressional District 7",,,,,"Doris O. Matsui","Democrat","https://environmentalenforcementwatch.org/report_cards/CA07_2024.pdf"
0643,CA,43,"California Congressional District 43",,,,,"Maxine Waters","Democrat","https://environmentalenforcementwatch.org/report_cards/CA43_2024.pdf"
0903,CT,03,"Connecticut Congressional District 3",,,,,"Rosa L. DeLauro","Democrat","https://environmentalenforcementwatch.org/report_cards/CT03_2024.pdf"
0905,CT,05,"Connecticut Congressional District 5",,,,,"Jahana Hayes","Democrat","https://environmentalenforcementwatch.org/report_cards/CT05_2024.pdf"
0904,CT,04,"Connecticut Congressional District 4",,,,,"James A. Himes","Democrat","https://environmentalenforcementwatch.org/report_cards/CT04_2024.pdf"
1227,FL,27,"Florida Congressional District 27",,,,,"Maria Elvira Salazar","Republican","https://environmentalenforcementwatch.org/report_cards/FL27_2024.pdf"
1205,FL,05,"Florida Congressional District 5",,,,,"John H. Rutherford","Republican","https://environmentalenforcementwatch.org/report_cards/FL05_2024.pdf"
1217,FL,17,"Florida Congressional District 17",,,,,"W. Gregory Steube","Republican","https://environmentalenforcementwatch.org/report_cards/FL17_2024.pdf"
1215,FL,15,"Florida Congressional District 15",,,,,"Laurel M. Lee","Republican","https://environmentalenforcementwatch.org/report_cards/FL15_2024.pdf"
1207,FL,07,"Florida Congressional District 7",,,,,"Cory Mills","Republican","https://environmentalenforcementwatch.org/report_cards/FL07_2024.pdf"
1222,FL,22,"Florida Congressional District 22",,,,,"Lois Frankel","Democrat","https://environmentalenforcementwatch.org/report_cards/FL22_2024.pdf"
1221,FL,21,"Florida Congressional District 21",,,,,"Brian J. Mast","Republican","https://environmentalenforcementwatch.org/report_cards/FL21_2024.pdf"
1803,IN,03,"Indiana Congressional District 3",,,,,"Jim Banks","Republican","https://environmentalenforcementwatch.org/report_cards/IN03_2024.pdf"
1806,IN,06,"Indiana Congressional District 6",,,,,"Greg Pence","Republican","https://environmentalenforcementwatch.org/report_cards/IN06_2024.pdf"
2408,MD,08,"Maryland Congressional District 8",,,,,"Jamie Raskin","Democrat","https://environmentalenforcementwatch.org/report_cards/MD08_2024.pdf"
2407,MD,07,"Maryland Congressional District 7",,,,,"Kweisi Mfume","Democrat","https://environmentalenforcementwatch.org/report_cards/MD07_2024.pdf"
2901,MO,01,"Missouri Congressional District 1",,,,,"Cori Bush","Democrat","https://environmentalenforcementwatch.org/report_cards/MO01_2024.pdf"
2907,MO,07,"Missouri Congressional District 7",,,,,"Eric Burlison","Republican","https://environmentalenforcementwatch.org/report_cards/MO07_2024.pdf"
3625,NY,25,"New York Congressional District 25",,,,,"Joseph D. Morelle","Democrat","https://environmentalenforcementwatch.org/report_cards/NY25_2024.pdf"
3607,NY,07,"New York Congressional District 7",,,,,"Nydia M. Velázquez","Democrat","https://environmentalenforcementwatch.org/report_cards/NY07_2024.pdf"
3609,NY,09,"New York Congressional District 9",,,,,"Yvette D. Clarke","Democrat","https://environmentalenforcementwatch.org/report_cards/NY09_2024.pdf"
3610,NY,10,"New York Congressional District 10",,,,,"Daniel S. Goldman","Democrat","https://environmentalenforcementwatch.org/report_cards/NY10_2024.pdf"
3612,NY,12,"New York Congressional District 12",,,,,"Jerrold Nadler","Democrat","https://environmentalenforcementwatch.org/report_cards/NY12_2024.pdf"
3617,NY,17,"New York Congressional District 17",,,,,"Michael Lawler","Republican","https://environmentalenforcementwatch.org/report_cards/NY17_2024.pdf"
3620,NY,20,"New York Congressional District 20",,,,,"Paul Tonko","Democrat","https://environmentalenforcementwatch.org/report_cards/NY20_2024.pdf"
3704,NC,04,"North Carolina Congressional District 4",,,,,"Valerie P. Foushee","Democrat","https://environmentalenforcementwatch.org/report_cards/NC04_2024.pdf"
3409,NJ,09,"New Jersey Congressional District 9",,,,,"Bill Pascrell, Jr.","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ09_2024.pdf"
3401,NJ,01,"New Jersey Congressional District 1",,,,,"Donald Norcross","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ01_2024.pdf"
3408,NJ,08,"New Jersey Congressional District 8",,,,,"Robert Menendez","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ08_2024.pdf"
3501,NM,01,"New Mexico Congressional District 1",,,,,"Melanie A. Stansbury","Democrat","https://environmentalenforcementwatch.org/report_cards/NM01_2024.pdf"
1717,IL,17,"Illinois Congressional District 17",,,,,"Eric Sorensen","Democrat","https://environmentalenforcementwatch.org/report_cards/IL17_2024.pdf"
1707,IL,07,"Illinois Congressional District 7",,,,,"Danny K. Davis","Democrat","https://environmentalenforcementwatch.org/report_cards/IL07_2024.pdf"
1903,IA,03,"Iowa Congressional District 3",,,,,"Zachary Nunn","Republican","https://environmentalenforcementwatch.org/report_cards/IA03_2024.pdf"
3601,NY,01,"New York Congressional District 1",,,,,"Nick LaLota","Republican","https://environmentalenforcementwatch.org/report_cards/NY01_2024.pdf"
1311,GA,11,"Georgia Congressional District 11",,,,,"Barry Loudermilk","Republican","https://environmentalenforcementwatch.org/report_cards/GA11_2024.pdf"
1306,GA,06,"Georgia Congressional District 6",,,,,"Richard McCormick","Republican","https://environmentalenforcementwatch.org/report_cards/GA06_2024.pdf"
5501,WI,01,"Wisconsin Congressional District 1",,,,,"Bryan Steil","Republican","https://environmentalenforcementwatch.org/report_cards/WI01_2024.pdf"
5502,WI,02,"Wisconsin Congressional District 2",,,,,"Mark Pocan","Democrat","https://environmentalenforcementwatch.org/report_cards/WI02_2024.pdf"
0200,AK,00,"Alaska Congressional District (at Large)",,,,,"Mary Sattler Peltola","Democrat","https://environmentalenforcementwatch.org/report_cards/AK00_2024.pdf"
3101,NE,01,"Nebraska Congressional District 1",,,,,"Mike Flood","Republican","https://environmentalenforcementwatch.org/report_cards/NE01_2024.pdf"
